strategy,symbol,timeframe,config,return,avg_daily_pnl,sharpe_ratio,win_rate,trades,score
BreakoutDonchian,BTCUSDT,1h,{'window': 10},0.0,0.0,0.0,0.0,0,0.0
BollingerBand,BTCUSDT,1h,"{'window': 14, 'std_dev': 1.5}",0.022585730423437145,0.002823216302929643,1.4626899670134526,0.5128205128205128,40,2.4730309373538724
MACDCross,BTCUSDT,1h,"{'fast_period': 8, 'slow_period': 21, 'signal_period': 6}",-0.023588007281402423,-0.002948500910175303,-0.7044965706578197,0.49101796407185627,22,-0.8348238812322037
ATRChannel,BTCUSDT,1h,"{'atr_period': 10, 'multiplier': 2}",0.001801256077847424,0.000225157009730928,0.2838489449750369,0.42857142857142855,6,0.641860387826117
MovingAverageCrossover,BTCUSDT,1h,"{'short_window': 20, 'long_window': 50}",0.051844222889046776,0.006480527861130847,1.7794390831722469,0.5210084033613446,2,2.9815070493280893
MACDTrend,BTCUSDT,1h,"{'fast_period': 8, 'slow_period': 21, 'signal_period': 6}",-0.019761578226810683,-0.0024701972783513354,-0.8975592846927533,0.4880952380952381,51,-1.1220528862183214
RSIReversion,BTCUSDT,1h,"{'rsi_period': 14, 'overbought': 65, 'oversold': 25}",0.020775819072950008,0.002596977384118751,1.7746615334547833,0.5666666666666667,20,2.966101452588458
StochasticRSI,BTCUSDT,1h,"{'rsi_period': 10, 'stoch_period': 10, 'signal_period': 3, 'overbought': 85, 'oversold': 20}",0.02119933371061944,0.00264991671382743,3.3557342407371245,0.7692307692307693,24,5.439416079431691
VWAPReversion,BTCUSDT,1h,"{'window': 20, 'std_dev': 1}",0.0054577590817197486,0.0006822198852149686,0.19341996097626668,0.5284552845528455,21,0.5598153428225425
TrendADX,BTCUSDT,1h,"{'adx_period': 14, 'adx_threshold': 20}",0.037231802004139336,0.004653975250517417,1.19548221842094,0.4859154929577465,1,2.073412876114422
TrendStrengthCombo,BTCUSDT,1h,"{'macd_fast': 8, 'macd_slow': 21, 'macd_signal': 6, 'ma_period': 50, 'adx_period': 10, 'adx_threshold': 20}",0.006534449272626586,0.0008168061590783232,0.3334012997501693,0.5,22,0.7566363988978805
ATRChannel,BTCUSDT,4h,"{'atr_period': 20, 'multiplier': 1.5}",0.011235875315804833,0.0014044844144756041,1.3738891483465663,0.5833333333333334,2,2.3637362645023208
BreakoutDonchian,BTCUSDT,4h,{'window': 10},0.0,0.0,0.0,0.0,0,0.0
BollingerBand,BTCUSDT,4h,"{'window': 14, 'std_dev': 2}",0.013839394820223672,0.001729924352527959,3.155115108933301,0.5,6,4.9965120582201745
MACDCross,BTCUSDT,4h,"{'fast_period': 8, 'slow_period': 26, 'signal_period': 12}",0.033529789867702275,0.004191223733462784,2.098518458807122,0.5365853658536586,4,3.4496001610052147
MACDTrend,BTCUSDT,4h,"{'fast_period': 8, 'slow_period': 26, 'signal_period': 6}",0.024330940966952763,0.0030413676208690954,1.964115580197082,0.5454545454545454,8,3.2432315839898482
MovingAverageCrossover,BTCUSDT,4h,"{'short_window': 5, 'long_window': 50}",0.0,0.0,0.0,0.0,0,0.0
RSIReversion,BTCUSDT,4h,"{'rsi_period': 14, 'overbought': 65, 'oversold': 25}",0.014173994578595916,0.0017717493223244896,3.269438360147791,0.6666666666666666,5,5.2516648681336155
StochasticRSI,BTCUSDT,4h,"{'rsi_period': 10, 'stoch_period': 10, 'signal_period': 3, 'overbought': 80, 'oversold': 15}",0.0,0.0,0.0,0.0,0,0.0
TrendADX,BTCUSDT,4h,"{'adx_period': 10, 'adx_threshold': 20}",0.013869756673212663,0.001733719584151583,1.2695056586252351,0.5416666666666666,1,2.188961577944399
VWAPReversion,BTCUSDT,4h,"{'window': 30, 'std_dev': 1}",0.02687571824768631,0.0033594647809607886,4.657233727823371,0.5833333333333334,3,7.30439297664941
TrendStrengthCombo,BTCUSDT,4h,"{'macd_fast': 8, 'macd_slow': 21, 'macd_signal': 6, 'ma_period': 20, 'adx_period': 10, 'adx_threshold': 20}",0.014956477195655626,0.0018695596494569533,1.6219281851430927,0.625,3,2.7603487549102947
ATRChannel,ETHUSDT,1h,"{'atr_period': 20, 'multiplier': 2}",-0.009606314318501341,-0.0012007892898126676,-0.3198176902623881,0.5,12,-0.23933284971208346
BollingerBand,ETHUSDT,1h,"{'window': 30, 'std_dev': 2}",0.033118614290577164,0.0041398267863221455,1.2008385276849736,0.75,16,2.2093764058180376
BreakoutDonchian,ETHUSDT,1h,{'window': 10},0.0,0.0,0.0,0.0,0,0.0
MACDCross,ETHUSDT,1h,"{'fast_period': 8, 'slow_period': 30, 'signal_period': 12}",0.04252205234413353,0.0053152565430166915,0.6628454899894728,0.4550898203592814,17,1.2643351975079835
MACDTrend,ETHUSDT,1h,"{'fast_period': 12, 'slow_period': 21, 'signal_period': 6}",0.011833670350584913,0.001479208793823114,0.23272713671144624,0.47619047619047616,38,0.5990196135129924
MovingAverageCrossover,ETHUSDT,1h,"{'short_window': 5, 'long_window': 100}",0.03861034941883679,0.004826293677354598,1.0474494391356937,0.5217391304347826,1,1.8706540733397687
RSIReversion,ETHUSDT,1h,"{'rsi_period': 10, 'overbought': 75, 'oversold': 25}",0.014325098093549316,0.0017906372616936644,0.6504707604640986,0.46875,32,1.224406238789697
StochasticRSI,ETHUSDT,1h,"{'rsi_period': 10, 'stoch_period': 10, 'signal_period': 5, 'overbought': 70, 'oversold': 15}",0.04376306063173696,0.00547038257896712,1.9428502520086912,0.5625,37,3.239288438644774
TrendADX,ETHUSDT,1h,"{'adx_period': 20, 'adx_threshold': 20}",0.043848614208522485,0.005481076776065311,0.7928263488726739,0.5327102803738317,5,1.499443277704449
TrendStrengthCombo,ETHUSDT,1h,"{'macd_fast': 8, 'macd_slow': 21, 'macd_signal': 6, 'ma_period': 20, 'adx_period': 10, 'adx_threshold': 30}",0.021305604063446615,0.002663200507930827,0.4240224548013668,0.4367816091954023,20,0.875730090863198
VWAPReversion,ETHUSDT,1h,"{'window': 14, 'std_dev': 2}",0.007923711425834368,0.000990463928229296,0.16462105050974482,0.532608695652174,19,0.5211596350165386
