strategy,symbol,timeframe,config,return,avg_daily_pnl,sharpe_ratio,win_rate,trades,score
ATRChannel,BTCUSDT,4h,"{'atr_period': 20, 'multiplier': 1.5}",0.011235875315804833,0.0014044844144756041,1.3738891483465663,0.5833333333333334,2,2.3637362645023208
BollingerBand,BTCUSDT,4h,"{'window': 14, 'std_dev': 2}",0.013839394820223672,0.001729924352527959,3.155115108933301,0.5,6,4.9965120582201745
BreakoutDonchian,BTCUSDT,4h,{'window': 10},0.0,0.0,0.0,0.0,0,0.0
MACDCross,BTCUSDT,4h,"{'fast_period': 8, 'slow_period': 26, 'signal_period': 12}",0.033529789867702275,0.004191223733462784,2.098518458807122,0.5365853658536586,4,3.4496001610052147
MACDTrend,BTCUSDT,4h,"{'fast_period': 8, 'slow_period': 26, 'signal_period': 6}",0.024330940966952763,0.0030413676208690954,1.964115580197082,0.5454545454545454,8,3.2432315839898482
MovingAverageCrossover,BTCUSDT,1h,"{'short_window': 20, 'long_window': 50}",0.051844222889046776,0.006480527861130847,1.7794390831722469,0.5210084033613446,2,2.9815070493280893
RSIReversion,BTCUSDT,4h,"{'rsi_period': 14, 'overbought': 65, 'oversold': 25}",0.014173994578595916,0.0017717493223244896,3.269438360147791,0.6666666666666666,5,5.2516648681336155
StochasticRSI,BTCUSDT,1h,"{'rsi_period': 10, 'stoch_period': 10, 'signal_period': 3, 'overbought': 85, 'oversold': 20}",0.02119933371061944,0.00264991671382743,3.3557342407371245,0.7692307692307693,24,5.439416079431691
TrendADX,ETHUSDT,4h,"{'adx_period': 10, 'adx_threshold': 20}",0.0435445478858566,0.005443068485732075,3.3568662200406303,0.5263157894736842,1,5.342001772683645
TrendStrengthCombo,ETHUSDT,4h,"{'macd_fast': 8, 'macd_slow': 21, 'macd_signal': 6, 'ma_period': 20, 'adx_period': 10, 'adx_threshold': 20}",0.03802085688316692,0.004752607110395865,3.5443775424713326,0.6428571428571429,2,5.676015742018737
VWAPReversion,BTCUSDT,4h,"{'window': 30, 'std_dev': 1}",0.02687571824768631,0.0033594647809607886,4.657233727823371,0.5833333333333334,3,7.30439297664941
